RT_ID,SN_B,SN_E,STOP_CD_B,STOP_CD_E,DIST,LMT_SPD
VBRCSMC-N1,1,13,BALBO2A,MERMACA,97644,60
VBRCSPC-N1,1,13,BALBO2A,PACHO  ,101774,40
VBRCSPH-N1,1,14,BALBO2A,PACUR  ,116043,40
VBRCSVV-N1,1,10,BALBO2A,VVETK2A,64111,60
VBRDDE1-N2,1,12,BALBO2A,ESTLP2A,43830,40
VBRDDPP-N2,1,12,BALBO2A,PAPUE  ,43620,40
DOVEC-R,1,58,HSBCL3A,24DDI2A,705471,60
ACNAL-I,1,45,EALCDIA,ALBROCG,472770,40
ACNAL-R,1,53,ALBROCG,MOCON1A,1081124,60
BLVTO-R,1,47,ETBVE2D,ESTASIC,502420,40
BOMAL-DI,1,60,AMANE1A,ALBROCC,713196,40
VBRDD99-N2,1,11,BALBO2A,SSMTM3A,28791,50
VBRDPPD-N2,1,41,BALBO2A,PADON  ,378497,40
VCACSPC-N1,1,21,PENAB1A,PACHO  ,263574,40
VCACSPH-N1,1,21,PENAB1A,PACUR  ,264271,40
VCADDE1-N2,1,17,PENAB1A,ESTLP2A,64785,40
VCAMDER-P2,1,14,PENAB1A,ESTAPAA,37630,40
DROCE-I,1,35,DORAD1A,DORTM2A,292157,60
DROCE-R,1,2,DORTM2A,DORAD1A,334,60
DROFI-I,1,38,DORAD1A,DORTM2A,547194,60
VCHCCEA-N2,1,51,CHAGR2A,AMANE1A,777254,40
ADKAL-DI,1,60,EALCDIA,ALBROCC,670012,40
BONAL-I,1,43,AMANE1A,ALBROCG,461954,40
BOMAL-DR,1,65,ALBROCC,AMANE2A,1225649,40
CHKCS-I,1,79,CHAGR1A,VVETK1A,1381451,60
VBRJAC1-N2,1,18,BALBO2A,CONCE1A,67261,40
DOEFE-VI,1,5,NVAES2A,PARED2A,16597,60
DOEFE-VR,1,4,NTOPA2A,NVAES1A,8762,60
DOEMP-VI,1,4,PARED1A,PENAB1A,6242,60
